Age,1yr Prob,2yr Prob,3yr Prob,4yr Prob,5yr Prob
1,0.0,0.023254753554994068,0.023254753554994068,0.023254753554994068,0.023254753554994068
2,0.023254753554994068,0.023254753554994068,0.023254753554994068,0.023254753554994068,0.023254753554994068
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.008810515441217692
12,0.0,0.0,0.0,0.008810515441217692,0.008810515441217692
13,0.0,0.0,0.008810515441217692,0.008810515441217692,0.008810515441217692
14,0.0,0.008810515441217692,0.008810515441217692,0.008810515441217692,0.01786241100431396
15,0.008810515441217692,0.008810515441217692,0.008810515441217692,0.01786241100431396,0.01786241100431396
16,0.0,0.0,0.009132356329552449,0.009132356329552449,0.009132356329552449
17,0.0,0.009132356329552449,0.009132356329552449,0.009132356329552449,0.009132356329552449
18,0.009132356329552449,0.009132356329552449,0.009132356329552449,0.009132356329552449,0.01826471206328273
19,0.0,0.0,0.0,0.009216524317921526,0.009216524317921526
20,0.0,0.0,0.009216524317921526,0.009216524317921526,0.009216524317921526
21,0.0,0.009216524317921526,0.009216524317921526,0.009216524317921526,0.009216524317921526
22,0.009216524317921526,0.009216524317921526,0.009216524317921526,0.009216524317921526,0.009216524317921526
23,0.0,0.0,0.0,0.0,0.00823040602208025
24,0.0,0.0,0.0,0.00823040602208025,0.014908963823639598
25,0.0,0.0,0.00823040602208025,0.014908963823639598,0.014908963823639598
26,0.0,0.00823040602208025,0.014908963823639598,0.014908963823639598,0.014908963823639598
27,0.00823040602208025,0.014908963823639598,0.014908963823639598,0.014908963823639598,0.014908963823639598
28,0.006733981200988559,0.006733981200988559,0.006733981200988559,0.006733981200988559,0.006733981200988559
29,0.0,0.0,0.0,0.0,0.005865085776889156
30,0.0,0.0,0.0,0.005865085776889156,0.011945402631192592
31,0.0,0.0,0.005865085776889156,0.011945402631192592,0.0246125946410648
32,0.0,0.005865085776889156,0.011945402631192592,0.0246125946410648,0.04047220015859687
33,0.005865085776889156,0.011945402631192592,0.0246125946410648,0.04047220015859687,0.04047220015859687
34,0.006116188826397861,0.018858113316366443,0.03481128555750623,0.03481128555750623,0.03481128555750623
35,0.012820336086290185,0.028871681386201997,0.028871681386201997,0.028871681386201997,0.036864461747933674
36,0.016259801418797126,0.016259801418797126,0.016259801418797126,0.024356382673362265,0.024356382673362265
37,0.0,0.0,0.00823040602208025,0.00823040602208025,0.00823040602208025
38,0.0,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025
39,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.011299314123332849
44,0.0,0.0,0.0,0.011299314123332849,0.011299314123332849
45,0.0,0.0,0.011299314123332849,0.011299314123332849,0.011299314123332849
46,0.0,0.011299314123332849,0.011299314123332849,0.011299314123332849,0.011299314123332849
47,0.011299314123332849,0.011299314123332849,0.011299314123332849,0.011299314123332849,0.011299314123332849
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
