State,Density,Pop,LandArea,cars_registered,trucks_registered,Max_1yr_prob,Average_1yr_prob,averageDailyTraffic,avgDailyTruckTraffic,lengthOfMaximumSpan,structureLength,Age,Avg. Daily Precipitation (mm),ADTT,state name,snowfall,freezethaw
DC,11665.0984,711571,61,208141,128699.966,0.0,0.0,33610.86517756709,3.374578177727784,26.170416197975047,106.40650811505651,50.60629921259842,3.1,1284.7421324120214,DC,29.02329594477998,81.11906816220879
NJ,1213.2917,8922547,7354,2798699,3080935.74,0.0,0.0,21693.116985813907,4.64767916669507,20.62689494386221,59.97593545704364,47.34829882816494,3.3433333333333333,1390.9678887881714,NJ,42.44318136761218,89.01935322712386
RI,1021.9903,1056738,1034,420313,419313.782,0.0,0.0,19260.974512123004,9.216026020106446,23.795434654051107,60.96082199881732,46.68243642814903,3.372,1784.8039290360794,RI,45.30114709851552,85.32304318488531
MA,889.6632,6939373,7800,2208468,2674324.285,0.0,0.0,23384.57468727647,7.8490465639665725,20.537339276679926,49.224426455452345,52.023473891728756,3.3392857142857144,2302.027405746817,MA,64.58213654942726,91.06547913407681
CT,736.8589,3567871,4842,1302339,1422502.0269999998,0.0,0.0,18295.89743177248,5.7001206549842,22.82113300775765,52.47108072392784,43.57082447572537,3.405,1572.0951285262925,CT,54.2371071120424,91.81561074818191
MD,624.5923,6062917,9707,2006904,2209445.212,0.0,0.0,20228.447014280835,5.615803322152369,23.818906541869694,74.3509550685903,46.399381364613255,3.1579166666666665,1358.7239217065269,MD,35.78353285368839,84.88740782756665
DE,500.2735,975033,1949,419199,519961.3927,0.0,0.0,14957.74619459532,7.919063903976396,24.760001341111927,88.46743110038294,37.974988265271904,3.1533333333333338,1304.1702045195511,DE,28.100018296029766,77.25013722022321
NY,413.6005,19491339,47126,4563035,5821795.712,0.0,0.0,10393.089155631176,8.187384937753547,22.98504772091113,55.5754895872955,44.41447301833063,3.0462903225806457,931.4427298441552,NY,95.90109013264973,90.50374058903971
FL,403.6579,21646155,53625,7778493,8534913.248,0.0,0.0,16369.460716585316,7.277831550524456,18.44736815869389,97.65044220583208,30.436676705784613,3.656119402985074,1334.8641763008145,FL,0.3152818058899517,5.564338096698148
OH,286.791,11718568,40861,4605459,5752346.188999999,0.0,0.0,5920.014598124596,6.3605994459784005,15.900244350789105,35.8633310511251,42.64854985070781,2.729090909090908,666.3906713429564,OH,69.11462327042447,91.56838805780077
PA,286.3905,12813969,44743,4463267,5792845.749,0.0,0.0,6287.741228690392,7.068616937701313,18.497339736034924,41.40581801398444,54.62710542854897,3.0625373134328346,672.6242789692693,PA,74.20197510227423,97.70141250720607
CA,255.1516,39747267,155779,14860967,14991713.53,0.0,0.0,24258.070903955864,7.206279215821954,21.892843040288096,69.22060949422512,55.79915873475513,1.966724137931035,1667.9628605462194,CA,13.078865022708412,17.189136489074414
